"ItemName","itmId","ItmName","Name","Units","itmDateAdded","itmCode"
"","313","Lunch Box - pcs","Lunch Box","pcs       ","2016-12-16T00:00:00","M2"
"","314","apple pie pcs - pcs","apple pie pcs","pcs       ","2016-12-30T00:00:00","PR285"
"","315","strawberry delight - pcs","strawberry delight","pcs       ","2016-12-30T00:00:00","PR286"
"","316","Butter Scotch Pastry - pnd","Butter Scotch Pastry","pnd       ","2017-01-24T00:00:00","PR287"
"","317","Chocolate Truffle Round    - pnd","Chocolate Truffle Round   ","pnd       ","2017-01-24T00:00:00","PR288"
"","318","Banana Choco muffin - pnd","Banana Choco muffin","pnd       ","2017-01-24T00:00:00","PR289"
"","319","American Brownie - pnd","American Brownie","pnd       ","2017-01-24T00:00:00","PR290"
"","320","Small Doughnut - pnd","Small Doughnut","pnd       ","2017-01-24T00:00:00","PR291"
"","321","Carrot Muffin - pnd","Carrot Muffin","pnd       ","2017-01-24T00:00:00","PR292"
"","322","Cinnamon Bread - pnd","Cinnamon Bread","pnd       ","2017-01-26T00:00:00","PR293"
"","323","Small Muffin - pcs","Small Muffin","pcs       ","2017-01-29T00:00:00","PR294"
"","324","Doughnut - pcs","Doughnut","pcs       ","2017-01-29T00:00:00","PR295"
"","325","Strawberry eggless cake - pnd","Strawberry eggless cake","pnd       ","2017-02-08T00:00:00","PR296"
"","326","Cafe Mocca  - Cups","Cafe Mocca ","Cups      ","2017-02-16T00:00:00","M3"
"","327","Hot lemon honey  - Cups","Hot lemon honey ","Cups      ","2017-02-16T00:00:00","M4"
"","328","Birthday poppers - pcs","Birthday poppers","pcs       ","2017-02-22T00:00:00","PR297"
"","329","Icing Muffin - pcs","Icing Muffin","pcs       ","2017-02-22T00:00:00","PR298"
"","330","Macaroon - pcs","Macaroon","pcs       ","2017-03-02T00:00:00","PR299"
"","331","Tiramisau Cake - pnd","Tiramisau Cake","pnd       ","2017-03-13T00:00:00","ORD5"
"","332","Iced Lemon Tea - Cups","Iced Lemon Tea","Cups      ","2017-03-21T00:00:00","M5"
"","333","Peach Iced Tea - Cups","Peach Iced Tea","Cups      ","2017-03-21T00:00:00","M6"
"","334","Iced Lemon Soda - Cups","Iced Lemon Soda","Cups      ","2017-03-21T00:00:00","M7"
"","335","Mint& Lemon Freshner - Cups","Mint& Lemon Freshner","Cups      ","2017-03-21T00:00:00","M8"
"","336","Lemonade - Cups","Lemonade","Cups      ","2017-03-21T00:00:00","M9"
"","337","Birthday Spray - pcs","Birthday Spray","pcs       ","2017-03-23T00:00:00","PR300"
"","338","Carrot muffin - pcs","Carrot muffin","pcs       ","2017-04-07T00:00:00","PR301"
"","339","Smiley face - pcs","Smiley face","pcs       ","2017-05-25T00:00:00","PR302"
"","340","Jam cookies - pcs","Jam cookies","pcs       ","2017-06-06T00:00:00","PR303"
"","341","Sausage Roll - pcs","Sausage Roll","pcs       ","2017-06-12T00:00:00","PR304"
"","342","Paneer Puff - pcs","Paneer Puff","pcs       ","2017-07-04T00:00:00","PR305"
"","343","crossiant cmb - pcs","crossiant cmb","pcs       ","2017-10-11T00:00:00","CMB18"
"","344","veg Pizza Wrap - pcs","veg Pizza Wrap","pcs       ","2017-10-11T00:00:00","CMB19"
"","345","roti - pcs","roti","pcs       ","2017-10-11T00:00:00","PR306"
"","1001","Coconut Macoroon  - pcs","Coconut Macoroon ","pcs       ","2015-12-01T00:00:00","PR1"
"","1002","Macoroon  - pcs","Macoroon ","pcs       ","2015-12-01T00:00:00","PR1"
"","1003","Mini Mixed Pizza - pcs","Mini Mixed Pizza","pcs       ","2015-12-01T00:00:00","PR1"
"","1004","Peach Danish - pcs","Peach Danish","pcs       ","2015-12-01T00:00:00","PR1"
"","1005","Veg Bun - pcs","Veg Bun","pcs       ","2015-12-01T00:00:00","PR1"
"","1006","Eggless Grand Chocolate Truffle Cake - Pound","Eggless Grand Chocolate Truffle Cake","Pound     ","2015-12-01T00:00:00","PR1"
"","1007","650gm Multigrain Sandwich  - pcs","650gm Multigrain Sandwich ","pcs       ","2015-12-01T00:00:00","PR1"
"","1008","650gm Brown Bread  - pcs","650gm Brown Bread ","pcs       ","2015-12-01T00:00:00","PR1"
"","1009","650gm White Bread - pcs","650gm White Bread","pcs       ","2015-12-01T00:00:00","PR1"
"","1010","Sugar Free Bread - pcs","Sugar Free Bread","pcs       ","2015-12-01T00:00:00","PR1"
"","1011","Mini Cake  - Pound","Mini Cake ","Pound","2015-12-01T00:00:00","PR1"
"","1012","Opera Pasty - PCS","Opera Pasty","PCS","2023-01-11T00:00:00","OP"
"","1013","Hazelnut Pasty - PCS","Hazelnut Pasty","PCS","2023-01-11T00:00:00","HP"
"","1014","Owils Browine - PCS","Owils Browine","PCS","2023-01-11T00:00:00","OW"
"","1015","Strawberry Entrement - PCS","Strawberry Entrement","PCS","2023-01-11T00:00:00","SE"
"","1016","Almond Cake - PCS","Almond Cake","PCS","2023-01-11T00:00:00","AC"
"","1017","Almond Brownie - PCS","Almond Brownie","PCS","2023-01-11T00:00:00","AB"
"","1018","Blueberry Enterment - PCS","Blueberry Enterment","PCS","2023-01-11T00:00:00","BE"
"","1019","Mini Pineapple Brownie - PCS","Mini Pineapple Brownie","PCS","2023-01-11T00:00:00","MPB"
"","1020","Mini Strawberry Enterment - PCS","Mini Strawberry Enterment","PCS","2023-01-11T00:00:00","MSE"
"","1021","Nutella Mousse - PCS","Nutella Mousse","PCS","2023-01-11T00:00:00","NM"
"","1022","Suger Syrut - PCS","Suger Syrut","PCS","2023-01-11T00:00:00","SS"
"","1023","sample string 3 - sample str","sample string 3","sample str","2023-02-05T00:00:00","sample str"
